1;1;2022-03-24;Out of Service
2;1;2020-05-03;Maintenance
3;1;2021-07-21;Out of Service
4;1;2021-11-16;Available
5;1;2021-05-22;In Use
6;1;2021-11-13;In Use
7;1;2020-01-03;Maintenance
8;1;2020-04-18;Available
9;1;2020-11-24;Out of Service
10;1;2020-04-24;Maintenance
11;1;2022-12-05;Out of Service
12;1;2023-10-01;Available
13;1;2023-12-24;Available
14;1;2021-07-09;Out of Service
15;1;2021-11-21;Available
16;1;2020-06-17;Maintenance
17;1;2020-12-12;Out of Service
18;1;2021-07-23;In Use
19;1;2021-11-17;Out of Service
20;1;2023-06-16;Maintenance
21;1;2021-11-20;Maintenance
22;1;2021-10-26;In Use
23;1;2022-02-14;Available
24;1;2022-09-17;Maintenance
25;1;2021-05-08;In Use
26;1;2022-08-26;In Use
27;1;2021-12-04;Out of Service
28;1;2022-07-18;Maintenance
29;1;2020-04-27;Out of Service
30;1;2023-11-27;In Use
31;1;2020-09-24;Available
32;1;2023-09-07;Out of Service
33;1;2023-10-01;Available
34;1;2020-06-10;Available
35;1;2021-05-07;Out of Service
36;1;2023-07-20;Out of Service
37;1;2023-09-25;Available
38;1;2021-10-07;In Use
39;1;2020-08-14;In Use
40;1;2021-05-17;Maintenance
41;1;2022-02-15;Maintenance
42;1;2022-01-01;In Use
43;1;2020-05-06;Available
44;1;2020-03-11;In Use
45;1;2020-07-17;Out of Service
46;1;2021-08-04;In Use
47;1;2023-07-17;Maintenance
48;1;2020-06-24;Out of Service
49;1;2020-06-23;Available
50;1;2022-05-23;In Use
51;1;2022-02-17;Available
52;1;2021-12-02;In Use
53;1;2023-10-22;Available
54;1;2022-09-18;Out of Service
55;1;2022-10-25;Available
56;1;2021-01-17;Maintenance
57;1;2021-10-01;Out of Service
58;1;2020-12-11;Available
59;1;2020-12-14;Out of Service
60;1;2022-06-16;Out of Service
61;1;2022-06-02;Out of Service
62;1;2023-07-15;In Use
63;1;2020-10-15;Available
64;1;2022-05-07;Maintenance
65;1;2023-10-18;Maintenance
66;1;2020-08-03;In Use
67;1;2021-10-03;Out of Service
68;1;2022-01-07;Maintenance
69;1;2020-03-17;Maintenance
70;1;2020-03-05;Out of Service
71;1;2021-07-12;Out of Service
72;1;2023-04-28;Available
73;1;2021-03-17;Available
74;1;2023-11-20;Available
75;1;2021-03-26;Maintenance
76;1;2022-11-23;In Use
77;1;2023-10-15;Available
78;1;2022-03-01;In Use
79;1;2023-09-04;In Use
80;1;2020-10-04;In Use
81;1;2022-06-28;Available
82;1;2023-12-15;Out of Service
83;1;2022-07-13;Out of Service
84;1;2022-11-11;Maintenance
85;1;2022-12-09;Out of Service
86;1;2022-02-23;In Use
87;1;2022-09-28;Available
88;1;2021-05-12;Out of Service
89;1;2022-12-19;Available
90;1;2020-04-27;Available
91;1;2020-06-04;Available
92;1;2023-06-08;Available
93;1;2021-08-26;Out of Service
94;1;2021-06-16;Out of Service
95;1;2022-01-06;Maintenance
96;1;2022-12-22;Out of Service
97;1;2023-10-25;Maintenance
98;1;2021-11-12;Available
99;1;2021-02-14;Available
100;1;2020-07-04;Available
101;1;2023-01-06;Maintenance
102;1;2023-11-27;Out of Service
103;1;2021-03-28;Available
104;1;2020-03-20;Out of Service
105;1;2023-03-17;In Use
106;1;2021-08-14;Available
107;1;2022-01-26;Maintenance
