1;0;Saturday;1;1;January;1;2022;1;0
2;6;Saturday;1;1;January;1;2022;1;0
3;12;Saturday;1;1;January;1;2022;1;0
4;18;Saturday;1;1;January;1;2022;1;1
5;0;Sunday;2;1;January;1;2022;1;0
6;6;Sunday;2;1;January;1;2022;1;0
7;12;Sunday;2;1;January;1;2022;1;0
8;18;Sunday;2;1;January;1;2022;1;0
9;0;Monday;3;1;January;1;2022;0;0
10;6;Monday;3;1;January;1;2022;0;0
11;12;Monday;3;1;January;1;2022;0;0
12;18;Monday;3;1;January;1;2022;0;0
13;0;Tuesday;4;1;January;1;2022;0;0
14;6;Tuesday;4;1;January;1;2022;0;0
15;12;Tuesday;4;1;January;1;2022;0;0
16;18;Tuesday;4;1;January;1;2022;0;0
17;0;Wednesday;5;1;January;1;2022;0;0
18;6;Wednesday;5;1;January;1;2022;0;0
19;12;Wednesday;5;1;January;1;2022;0;0
20;18;Wednesday;5;1;January;1;2022;0;0
21;0;Thursday;6;1;January;1;2022;0;0
22;6;Thursday;6;1;January;1;2022;0;0
23;12;Thursday;6;1;January;1;2022;0;0
24;18;Thursday;6;1;January;1;2022;0;0
25;0;Friday;7;1;January;1;2022;0;0
26;6;Friday;7;1;January;1;2022;0;0
27;12;Friday;7;1;January;1;2022;0;0
28;18;Friday;7;1;January;1;2022;0;0
29;0;Saturday;8;1;January;1;2022;1;0
30;6;Saturday;8;1;January;1;2022;1;0
31;12;Saturday;8;1;January;1;2022;1;0
32;18;Saturday;8;1;January;1;2022;1;0
33;0;Sunday;9;1;January;1;2022;1;0
34;6;Sunday;9;1;January;1;2022;1;0
35;12;Sunday;9;1;January;1;2022;1;0
36;18;Sunday;9;1;January;1;2022;1;0
37;0;Monday;10;1;January;1;2022;0;0
38;6;Monday;10;1;January;1;2022;0;0
39;12;Monday;10;1;January;1;2022;0;0
40;18;Monday;10;1;January;1;2022;0;0
41;0;Tuesday;11;1;January;1;2022;0;0
42;6;Tuesday;11;1;January;1;2022;0;0
43;12;Tuesday;11;1;January;1;2022;0;0
44;18;Tuesday;11;1;January;1;2022;0;0
45;0;Wednesday;12;1;January;1;2022;0;0
46;6;Wednesday;12;1;January;1;2022;0;0
47;12;Wednesday;12;1;January;1;2022;0;0
48;18;Wednesday;12;1;January;1;2022;0;0
49;0;Thursday;13;1;January;1;2022;0;0
50;6;Thursday;13;1;January;1;2022;0;0
51;12;Thursday;13;1;January;1;2022;0;0
52;18;Thursday;13;1;January;1;2022;0;0
53;0;Friday;14;1;January;1;2022;0;0
54;6;Friday;14;1;January;1;2022;0;0
55;12;Friday;14;1;January;1;2022;0;0
56;18;Friday;14;1;January;1;2022;0;0
57;0;Saturday;15;1;January;1;2022;1;0
58;6;Saturday;15;1;January;1;2022;1;0
59;12;Saturday;15;1;January;1;2022;1;0
60;18;Saturday;15;1;January;1;2022;1;1
61;0;Sunday;16;1;January;1;2022;1;0
62;6;Sunday;16;1;January;1;2022;1;0
63;12;Sunday;16;1;January;1;2022;1;0
64;18;Sunday;16;1;January;1;2022;1;0
65;0;Monday;17;1;January;1;2022;0;0
66;6;Monday;17;1;January;1;2022;0;0
67;12;Monday;17;1;January;1;2022;0;0
68;18;Monday;17;1;January;1;2022;0;0
69;0;Tuesday;18;1;January;1;2022;0;0
70;6;Tuesday;18;1;January;1;2022;0;0
71;12;Tuesday;18;1;January;1;2022;0;0
72;18;Tuesday;18;1;January;1;2022;0;0
73;0;Wednesday;19;1;January;1;2022;0;0
74;6;Wednesday;19;1;January;1;2022;0;0
75;12;Wednesday;19;1;January;1;2022;0;0
76;18;Wednesday;19;1;January;1;2022;0;0
77;0;Thursday;20;1;January;1;2022;0;0
78;6;Thursday;20;1;January;1;2022;0;0
79;12;Thursday;20;1;January;1;2022;0;0
80;18;Thursday;20;1;January;1;2022;0;0
